index	actual_p	real_lower_num	real_upper_num	imag_lower_num	imag_upper_num	denominator	cell_status	strict_margin_num
22	-1332020789	-35911209430546242256216727882882649109259250344923539313432575270822531301376	-35911209430546242256216727882882649109259250343481416538917562586832232775680	-719436590955944280384344162304	723034354195117416808269742080	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	13050299988644892351729364544382315066880546009396530312474854948864
23	-614502628	-16566958073363277417639409738397132474170054760800291409114250324995259498496	-16566958073363277417639409738397132474170054757615497229921471227149309444096	-1592377746783275714856179728384	1593422258691422754463125864448	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	9139341325510468479841428281140434528367345214929108629270147629056
24	283144912503548760445203323	7633571740170708921317185299606678978050946604609852591255439673865622024449723927016480178176	7633571740170708921317185299606678978050946604609852591255475384015497069271066154555066548224	-17841447596855891635877345757233152	17868933579548144934120931012378624	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	11040336804134956607891596417126345108091806503302320405160463958016
25	-1093949195	-29492811953285479362647579220462444795614927465982280116931941434699699716096	-29492811953285479362647579220462444795614927462795783770185144938975763365888	-1594118599963520780867756621824	1593538315570105758863897657344	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	12993077349111952670297972414502080936477356860912984035803975909376
26	1105737153	29810614677287008991544538234447187547672948076468119660054214965620442660864	29810614677287008991544538234447187547672948077915348937231279843244700073984	-724310979860630465216759463936	723730695467215443212900499456	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	8959951410714391508215453672015875487733064916284658692296825372672
27	388306809	10468730857708725767235886385929823356710028078209549563449477023753801039872	10468730857708725767235886385929823356710028081588545586305150152224551206912	-1689594725493405734569351577600	1689594725493405734569351577600	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	10057249039835642437267880792981283440439244401549207570052846452736
28	-658712314	-17758848845598153355908291253966034552746815253575605224893077482397430185984	-17758848845598153355908291253966034552746815252975939332737993743609576292352	-299658860759517362792769257472	300664687041436734266124795904	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	4642740963758016783855929811799728390870617286095799603146193371136
29	1588611184	42828872801674831848217670283140199794474810851474955438446181269075652509696	42828872801674831848217670283140199794474810854661374413940522428532407664640	-1593538315570105758863897657344	1593422258691422754463125864448	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	7284173275921133337329426264724426069628372934573587716700962291712
30	745573035	20100609246690495999916422049313827497277232165559583334997304265830425427968	20100609246690495999916422049313827497277232166844797209532894999977259958272	-642181395379291017603920691200	642800365398933707741370253312	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	104832019590078693827319894864307246531258510893691663417151062016
31	723182736	19496967990681218073323526412066103296935921980609147805577383590333767483392	19496967990681218073323526412066103296935921983273078713240838937515911020544	-1330978970362922136184511528960	1333880392329997246203806351360	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	10997110396041076129815476244175304142707688738956852671379903873024
32	113779354	3067485328433587193635050908061392501207788206603402604165953513006632534016	3067485328433587193635050908061392501207788206696132050233674029223295057920	-46268008968291087774354767872	45997209584697410839220584448	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	709238956464174610981462405667046252923809536726758192552085553152
33	-1418871903	-38252710842542147361052655481476791007776847170862846927648770271372315197440	-38252710842542147361052655481476791007776847168156593944892245986042057850880	-1353996917968384675670917120000	1353416633574969653667058155520	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	3336361845649381363705970507993675204251703454594426983654900105216
34	-1217500751	-32823755309122385884939889958411154342297116821103813106779001212634883162112	-32823755309122385884939889958411154342297116819777360354684716248080471556096	-663032947916004141609252814848	662916891037321137208481021952	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	8426508238377633192369931188911072920657324242241423701400499519488
35	939411852	25326493416925980392960262517808094614210512902979770055604600044689410752512	25326493416925980392960262517808094614210512906320119137858832707703153885184	-1669632942359928977636603199488	1671219053035263371113817702400	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	1996743634042542048932549746242850821828032527261108777139031769088
