step	Q_bits	coarse_NW_ratio_log2_floor	coarse_NW_pass	refined_NW_ratio_log2_floor	refined_all_phase_checks	combined_normalized_upper	L_normalized_upper
1	580	-405	True	-420	True	9.844360351563e-1	5.470946572056e-12
2	520	-315	True	-360	True	9.691143073142e-1	1.260478367252e-11
3	460	-195	True	-300	True	9.391825406410e-1	2.626413167448e-11
4	400	-15	True	-240	True	8.820638446449e-1	5.116678612865e-11
5	340	285	False	-180	True	7.780366260298e-1	9.209786052891e-11
6	280	825	False	-120	True	6.053409914437e-1	1.451440497878e-10
7	220	1844	False	-61	True	3.664377159221e-1	1.775561506604e-10
8	160	3823	False	-2	True	1.342765996502e-1	1.319590696918e-10
