PASS: 8 exact S100 family bounds; 12 modular root-order checks; no transforms.
family	active_Q_towers	B2_coefficient_bound	local_Relin_bound	local_Relin_over_T	local_RS_over_T	unit_tensor_scale_over_Qhalf
0	10	2.045248e+7	4.585598e-37	5.543648e-13	2.015622e+0	7.386393e-127
1	9	1.789657e+7	4.012534e-37	4.850856e-13	2.015616e+0	8.515956e-109
2	8	1.534067e+7	3.439463e-37	4.158056e-13	2.015604e+0	9.818285e-91
3	7	1.278476e+7	2.866383e-37	3.465244e-13	2.015581e+0	1.131984e-72
4	6	1.022886e+7	2.293289e-37	2.772416e-13	2.015535e+0	1.305118e-54
5	5	7.672961e+6	1.720182e-37	2.079573e-13	2.015443e+0	1.504768e-36
6	4	5.117057e+6	1.147075e-37	1.386729e-13	2.015258e+0	1.735038e-18
7	3	2.561153e+6	5.740211e-38	6.939489e-14	2.014889e+0	2.000729e+0
Initial DCP low-product conservative bound / T = 4.062732e+0
